animal_name,hair,feathers,eggs,milk,airborne,aquatic,predator,toothed,backbone,breathes,venomous,fins,legs,tail,domestic,catsize,class_type,name_norm,Class_Number,Number_Of_Animal_Species_In_Class,Class_Type,Animal_Names,animal_name_aux,habitat,diet,conservation_status,conservation,habitats,status,diet_type,is_endangered,diet_complexity
aardvark,1,0,0,1,0,0,1,1,1,1,0,0,4,0,0,1,1,aardvark,,,unknown,unknown,aardvark,savanna,insectivore,least concern,unknown,unknown,unknown,unknown,0,0
antelope,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1,antelope,,,unknown,unknown,antelope,grasslands,herbivore,unknown,near threatened,unknown,unknown,unknown,0,1
bass,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4,bass,,,unknown,unknown,bass,freshwater,carnivore,least,unknown,unknown,unknown,unknown,0,3
bear,1,0,0,1,0,0,1,1,1,1,0,0,4,0,0,1,1,bear,,,unknown,unknown,bear,unknown,omnivore,vulnerable,unknown,forest,unknown,unknown,1,2
boar,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1,boar,,,unknown,unknown,boar,forest,omnivor,unknown,unknown,unknown,least concern,unknown,0,0
buffalo,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1,buffalo,,,unknown,unknown,buffalo,grasslands,unknown,unknown,endangered,unknown,unknown,herbivore,0,0
calf,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,1,calf,,,unknown,unknown,calf,domestic,herbivore,unknown,unknown,unknown,unknown,unknown,0,1
carp,0,0,1,0,0,1,0,1,1,0,0,1,0,1,1,0,4,carp,,,unknown,unknown,carp,fresh water,omnivore,least concern,unknown,unknown,unknown,unknown,0,2
catfish,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4,catfish,,,unknown,unknown,catfish,FreshWater,carnivore,unknown,unknown,unknown,unknown,unknown,0,3
cavy,1,0,0,1,0,0,0,1,1,1,0,0,4,0,1,0,1,cavy,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0,0
cheetah,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1,cheetah,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0,0
chicken,0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,2,chicken,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0,0
chub,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4,chub,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0,0
clam,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,7,clam,,,unknown,unknown,clam,marine,filter_feeder,least concern,unknown,unknown,unknown,unknown,0,0
crab,0,0,1,0,0,1,1,0,0,0,0,0,4,0,0,0,7,crab,,,unknown,unknown,crab,marine/coastal,omnivore,unknown,least concern,unknown,unknown,unknown,0,2
crayfish,0,0,1,0,0,1,1,0,0,0,0,0,6,0,0,0,7,crayfish,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0,0
crow,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,0,2,crow,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0,0
deer,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1,deer,,,unknown,unknown,deer,Forest,Herbivore,vulnerable,unknown,unknown,unknown,unknown,1,1
dogfish,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,4,dogfish,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0,0
dolphin,0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1,1,dolphin,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0,0
dove,0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,2,dove,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0,0
duck,0,1,1,0,1,1,0,0,1,1,0,0,2,1,0,0,2,duck,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0,0
elephant,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1,elephant,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0,0
flamingo,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,1,2,flamingo,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0,0
flea,0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0,6,flea,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0,0
frog,0,0,1,0,0,1,1,1,1,1,0,0,4,0,0,0,5,frog,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0,0
frog,0,0,1,0,0,1,1,1,1,1,1,0,4,0,0,0,5,frog,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0,0
fruitbat,1,0,0,1,1,0,0,1,1,1,0,0,2,1,0,0,1,fruitbat,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0,0
giraffe,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1,giraffe,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0,0
girl,1,0,0,1,0,0,1,1,1,1,0,0,2,0,1,1,1,girl,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0,0
gnat,0,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,6,gnat,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0,0
goat,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,1,goat,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0,0
gorilla,1,0,0,1,0,0,0,1,1,1,0,0,2,0,0,1,1,gorilla,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0,0
gull,0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,2,gull,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0,0
haddock,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,4,haddock,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0,0
